序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
197,75-56-9,1280,"1,2-环氧丙烷",氧化丙烯；甲基环氧乙烷,IV/II,易爆介质；易燃液体，类别1,-,-,低分子有机酸腐蚀,与强氧化剂、硝酸、硫酸等禁配物接触，有发生火灾和爆炸的危险。与铁、锡、铝的无水氯化物，铁、铝的过氧化物以及碱金属氢氧化物等催化剂的活性表面接触能聚合放热。禁配物：酸类、碱类、强氧化剂。铁、锡、铝的无水氯化物，铁、铝的过氧化物，氨水、氯磺酸、盐酸、氟化氢、硝酸、硫酸、发烟硫酸等。危险的分解产物：无资料,极易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖细胞致突变性，类别1B致癌性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
198,106-88-7,3022,"1,2-环氧丁烷",氧化丁烯,IV,易爆介质；易燃液体，类别2,-,-,低分子有机酸腐蚀,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类。危险的分解产物：无资料,高度易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2致癌性，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
199,75-21-8,1040,环氧乙烷,氧化乙烯；氧丙环,III *(II-密封性)/I,易爆介质；易燃气体，类别1；化学不稳定性气体，类别A,加压气体,-,低分子有机酸腐蚀,与强氧化剂、碱金属、氢氧化物等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、碱、醇类、氨、铜。危险的分解产物：无资料,极易燃气体，(不稳定)，内装加压气体：遇热可能爆炸，吸入会中毒，可能致癌,急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖细胞致突变性，类别1B致癌性，类别1A特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3,G1
200,111-27-3,2282,1-己醇,正己醇,IV,易爆介质；易燃液体，类别3,-,-,低分子有机酸腐蚀,-,易燃液体和蒸气,急性毒性-经口，类别4急性毒性-经皮，类别5皮肤腐蚀/刺激，类别3,-
201,124-09-4,2280,"1,6-己二胺","1,6-二氨基己烷；己撑二胺；六亚甲基二胺",IV,易爆介质,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂、酸类等禁配物发生反应。禁配物：酸类、酰基氯、酸酐、强氧化剂。危险的分解产物：氨,可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
202,111-69-3,2205,己二腈,"1,4-二氰基丁烷；氰化四亚甲基",III,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强还原剂、强酸、强碱。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒,急性毒性-经口，类别3急性毒性-经皮，类别3急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2B特异性靶器官毒性-一次接触，类别1特异性靶器官毒性-反复接触，类别2,-
203,592-45-0,2458,"1,4-己二烯",1-烯丙基丙烯,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下发生可聚合反应。禁配物：强氧化剂、酸类、卤代烃、卤素。危险的分解产物：无资料,高度易燃液体,-,-
204,592-42-7,2458,"1,5-己二烯",双烯丙基,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤代烃、卤素。危险的分解产物：无资料,高度易燃液体,-,-
205,105-60-2,-,己内酰胺,-,IV,易爆介质,-,-,-,与强氧化剂、强碱等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氮氧化物,-,急性毒性-经口，类别4急性毒性-吸入，类别4急性毒性-经皮，类别5皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2A特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
206,591-78-6,1224,2-己酮,甲基丁基甲酮,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂、强还原剂、强碱等禁配物接触，有引起燃烧爆炸的危险。禁配物：强氧化剂、强还原剂、强碱。危险的分解产物：无资料,易燃液体,生殖毒性，类别2特异性靶器官毒性-一次接触，类别3（麻醉效应）特异性靶器官毒性-反复接触，类别1,-
207,589-38-8,1224,3-己酮,乙基丙基甲酮,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、强碱。危险的分解产物：无资料,易燃液体,急性毒性-经口，类别5急性毒性-经皮，类别5,-
208,592-41-6,2370,1-己烯,丁基乙烯,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下可发生聚合反应。禁配物：强氧化剂、酸类、卤代烃、卤素等。危险的分解产物：无资料,高度易燃液体，禁止催吐,特异性靶器官毒性-一次接触，类别3（呼吸道刺激、麻醉效应）吸入危害，类别1危害水生环境-急性危害，类别2,-
209,109-83-1,2735,2-甲氨基乙醇,2-甲基氨基乙醇,IV,易爆介质；易燃液体，类别4,-,-,-,-,可燃液体，造成严重的皮肤灼伤和眼损伤,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1,-
210,108-88-3,1294,甲苯,甲基苯；苯基甲烷,-/III,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,高度易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2生殖毒性，类别2特异性靶器官毒性-一次接触，类别3(麻醉效应)特异性靶器官毒性-反复接触，类别2*吸入危害，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,-
211,584-84-9,2078,"甲苯-2,4-二异氰酸酯","2,4-二异氰酸甲苯酯;2,4-TDI",II*/I,易爆介质,-,-,-,与强氧化剂、水、醇类、胺类、酸类、强碱等禁配物接触，有发生火灾和爆炸的危险。禁配物：氧化剂、水、醇类、胺类、酸类、强碱。危险的分解产物：氮氧化物、氰化氢,吸入致命，吸入可能导致过敏，可能引起皮肤过敏,急性毒性-吸入，类别2*皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2呼吸道致敏物，类别1皮肤致敏物，类别1致癌性，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
212,67-56-1,1230,甲醇,木醇;木精,III*,"易爆介质;易燃液体,类别2",-,-,低分子有机酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:酸类、酸酐、强氧化剂、碱金属。危险的分解产物:无资料","高度易燃液体,吞咽会中毒,皮肤接触会中毒,吸入会中毒,强渗透性","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*特异性靶器官毒性-一次接触,类别1",-
213,95-48-7,3455,2-甲酚,1-羟基-2-甲苯;邻甲(苯)酚,III*,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:无资料,"吞咽会中毒,皮肤接触会中毒,可引起皮肤腐蚀","急性毒性-经口,类别3*急性毒性-经皮,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别2",-
214,108-39-4,2076,3-甲酚,1-羟基-3-甲苯;间甲(苯)酚,III*,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:无资料,"吞咽会中毒,皮肤接触会中毒,可引起皮肤腐蚀","急性毒性-经口,类别3*急性毒性-经皮,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危险水生环境-急性危害,类别2",-
215,106-44-5,3455,4-甲酚,1-羟基-4-甲苯;对甲(苯)酚,III*,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:无资料,"吞咽会中毒,皮肤接触会中毒,可引起皮肤腐蚀","急性毒性-经口,类别3*急性毒性-经皮,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危 害水生环境-急性危害,类别2",-
216,1319-77-3,2076,甲酚,甲苯基酸；克利沙酸；甲苯酚异构体混合物,III*/II,-,-,-,低分子有机酸腐蚀,-,吞咽会中毒，皮肤接触会中毒，可引起皮肤腐蚀,急性毒性-经口，类别3*急性毒性-经皮，类别3*皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1危害水生环境-急性危害，类别2,-
217,106-91-2,2922,甲基丙烯酸环氧丙酯,-,III/II,-,-,-,-,-,皮肤接触会中毒，造成严重皮肤灼伤和眼损伤，可能引起皮肤过敏，怀疑会导致遗传性缺陷，可能致癌,急性毒性-经口，类别4急性毒性-经皮，类别3皮肤腐蚀/刺激，类别1C严重眼损伤/眼刺激，类别1皮肤致敏物，类别1生殖细胞致突变性，类别2致癌性，类别1B特异性靶器官毒性-一次接触，类别3特异性靶器官毒性-反复接触，类别1,-
218,78-79-5,1218,"2-甲基-1,3-丁二烯[稳定的]",异戊间二烯;异戊二烯,-,"易爆介质;易燃液体,类别1",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。高热下可发生聚合反应。禁配物:氧化剂、酸类、卤代烃、卤素、发烟硫酸、硝酸、硫酸、氯磺酸等。危险的分解产物:无资料",极易燃液体,"生殖细胞致突变性,类别2致癌性,类别2危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
219,78-83-1,1212,2-甲基-1-丙醇,异丁醇,IV,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强酸、强氧化剂、酸酐、酰基氯。危险的分解产物:无资料","易燃液体,造成严重眼损伤","急性毒性-经口,类别5急性毒性-经皮,类别5皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激、麻醉效应)",-
220,123-51-3,1105,3-甲基-1-丁醇,异戊醇,-,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强酸、强氧化剂、酸酐、酰基氯。危险的分解产物:无资料",易燃液体,"严重眼损伤/眼刺激,类别2A特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激、麻醉效应)",-
221,563-45-1,2561,3-甲基-1-丁烯,α-异戊烯；异丙基乙烯,-,易爆介质；易燃液体，类别1,-,-,-,与强氧化剂、酸类、卤代烃、卤素等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚反应。禁配物：强氧化剂、酸类、卤代烃、卤素等。危险的分解产物：无资料,极易燃液体,危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3*,-
222,105-59-9,-,甲基二乙醇胺,N-甲基二乙醇胺,-,易爆介质,-,-,胺应力腐蚀开裂,-,-,严重眼损伤/眼刺激，类别2,-
223,867-27-6,3018,甲基内吸磷,甲基1059,III / II,-,-,-,-,-,吞咽会中毒,急性毒性-经口，类别3,-
224,105-30-6,2282,2-甲基-1-戊醇,2-甲基-2-丙基乙醇,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂、酸类、卤代烃、卤素等禁配物接触，有引起燃烧爆炸的危险。容易发生自聚反应。禁配物：氧化剂、酸类、酰基氯。危险的分解产物：无资料,易燃液体,急性毒性-经口，类别4,-
225,75-65-0,1120,2-甲基-2-丙醇,叔丁醇；三甲基甲醇；特丁醇,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、酸酐、强氧化剂。危险的分解产物：无资料,高度易燃液体,"急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
226,75-85-4,1105,2-甲基-2-丁醇,叔戊醇；二甲基乙基甲醇,IV,易爆介质；易燃液体，类别2,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物：强氧化剂。危险的分解产物：无资料",高度易燃液体,"急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
227,598-75-4,1105,3-甲基-2-丁醇,异丙基甲基甲醇,-,易爆介质；易燃液体，类别2,-,-,-,"与强氧化剂、强还原剂等禁配物接触,有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂。危险的分解产物：无资料",高度易燃液体,-,-
228,563-80-4,2397,3-甲基-2-丁酮,甲基异丙基甲酮,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：无资料,高度易燃液体,-,-
229,108-11-2,2053,4-甲基-2-戊醇,"甲基异丁基甲醇；1,3-二甲基丁醇",-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂。危险的分解产物：无资料,易燃液体,特异性靶器官毒性一次接触，类别3（呼吸道刺激）,-
230,107-41-5,-,"2-甲基-2,4-戊二醇",己二醇,IV,易爆介质,-,-,-,-,-,急性毒性-经口，类别5皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3,-
231,108-10-1,1245,4-甲基-2-戊酮,甲基异丁基酮；异己酮；异丙基丙酮,IV/III,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、强还原剂。危险的分解产物：无资料,高度易燃液体,急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3（呼吸道刺激）,-
232,104-90-5,2300,2-甲基-5-乙基吡啶,5-乙基-2-甲基吡啶；5-乙基-2-皮考啉,III,易爆介质,-,-,-,与酸类、酰基氯、强氧化剂、强碱等禁配物发生反应。禁配物：酸类、酰基氯、强氧化剂、强碱。危险的分解产物：氮氧化物,"皮肤接触会中毒,吸入会中毒","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别3危害水生环境-急性危害,类别3",-
233,16752-77-5,2757,S-甲基-N-[(甲基氨基甲酰基)-氧基]硫代乙酰胺酸酯,灭多威；O-甲基氨基甲酰酯-2-甲硫基乙醛肟；灭多虫,II*,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物：强氧化剂、碱类。危险的分解产物：氮氧化物、氧化硫,吞咽致命,"急性毒性-经口,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
234,24353-61-5,1294,O-甲基-O-(2-异丙氧基甲酰基苯基)硫代磷酰胺,水胺硫磷,II,-,-,-,-,-,吞咽致命,"急性毒性-经口,类别2",-
235,99675-03-3,3278,O-甲基-O-[(2-异丙氧基甲酰)苯基]-N-异丙基硫代磷酰胺,甲基异柳磷,III,-,-,-,-,-,"吞咽会中毒,皮肤接触会中毒","急性毒性-经口,类别3急性毒性-经皮,类别3危害水生环境-急性危害,类别1",-
236,116-06-3,2757,O-甲基氨基甲酰基-2-甲基-2-(甲硫基)丙醛肟,涕灭威;丁醛肟威;涕灭克,II*,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:氮氧化物、氧化硫,"吞咽致命,皮肤接触会中毒,吸入致命","急性毒性-经口,类别2*急性毒性-经皮,类别3*急性毒性-吸入,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
